Time,Date,kwh
6am ,04-Dec-2014,1.478  
4pm ,14-Dec-2014,1.01
1pm , 3-Nov-2014,0.207 
1pm ,25-Feb-2014,0.48kwh  
5pm ,25-Dec-2014,1.401 
1am ,16-Feb-2014,0.414 
11am ,13-Oct-2014,0.297kwh 
11pm ,15-Sep-2014,0.333kwh  
5pm ,13-Aug-2014,1.31kwh 
8pm ,15-Jun-2014,3.337kwh  
10pm , 3-Nov-2014,0.254 
2am ,27-Jan-2014,0.40kwh  
2am ,31-May-2014,0.252kwh  
1am ,22-Apr-2014,0.064kwh
6am ,13-May-2014,0.883
8pm ,10-Jan-2014,3.392  
4am ,17-Feb-2014,0.262
7pm ,22-Dec-2014,1.742   
4pm , 1-May-2014,0.32  
1am , 1-Sep-2014,0.134  
4am ,13-Jul-2014,0.626kwh  
8pm ,31-Oct-2014,1.133kwh 
9pm ,23-Oct-2014,0.292  
7am ,18-Oct-2014,0.814kwh  
12am ,18-Jul-2014,0.77kwh 
1pm , 4-Aug-2014,0.523 
10am ,11-Feb-2014,0.533 
2am ,10-Feb-2014,0.238
12pm ,17-Jun-2014,0.801  
5pm ,22-Feb-2014,0.918 
7am , 9-May-2014,0.605 
3pm ,18-Feb-2014,0.456kwh
12pm ,03-Jun-2014,0.828 
10pm , 2-Apr-2014,0.12 
10pm ,18-Feb-2014,0.60 
3am ,24-Dec-2014,0.205  
3pm ,23-Mar-2014,0.727kwh
4pm , 2-Jan-2014,0.712  
11am ,26-Dec-2014,0.462 
9am ,25-Jul-2014,0.857  
1am ,12-Jul-2014,0.864   
6pm ,02-Aug-2014,2.009 
12am ,11-Jul-2014,0.684 
10am ,18-Jul-2014,0.97  
3am ,11-May-2014,0.262kwh  
3am ,23-Feb-2014,0.349kwh
10pm ,1-Aug-2014,0.764
11am ,2-May-2014,0.42kwh
9am ,16-Jun-2014,0.513  
10am ,19-Apr-2014,0.169  
11pm ,10-Feb-2014,0.666kwh 
10pm ,15-Oct-2014,0.252 
5pm ,07-Oct-2014,0.78 
4pm ,16-Dec-2014,0.361
10am ,29-Jun-2014,0.918kwh 
10pm , 5-Nov-2014,0.216kwh 
12pm ,18-Oct-2014,0.385  
8am ,25-Nov-2014,0.189   
4pm ,06-Feb-2014,0.494  
9pm ,30-Jan-2014,1.20kwh  
5am ,05-May-2014,0.933kwh 
9am ,15-Nov-2014,0.458kwh
2pm ,31-May-2014,0.595kwh  
4am ,22-Aug-2014,0.211kwh  
10pm , 1-Mar-2014,0.294  
10am ,29-Aug-2014,0.557 
1am , 7-Jun-2014,0.475kwh  
10pm ,27-Oct-2014,0.309kwh 
7am ,10-Nov-2014,0.478 
12pm ,23-Jul-2014,1.128  
11am ,17-Sep-2014,0.406  
12pm ,18-Aug-2014,0.618 
7pm ,27-Nov-2014,0.753  
4pm , 2-Nov-2014,0.352
7pm ,01-Mar-2014,1.584  
5pm , 1-Nov-2014,0.409   
5pm ,23-Oct-2014,0.655  
9pm ,16-Jul-2014,1.238kwh  
9am , 3-Jan-2014,0.558 
1pm ,12-Sep-2014,0.288
1pm ,29-Jan-2014,0.664kwh  
3pm ,19-Sep-2014,0.269kwh
7pm ,29-Jun-2014,3.532 
10pm ,07-Jan-2014,1.09 
12pm , 2-Mar-2014,0.422kwh 
10pm ,13-Jan-2014,0.99kwh  
6pm ,20-Feb-2014,1.898 
5am ,08-Jul-2014,2.798   
3am , 3-Nov-2014,0.108kwh
5am ,18-Nov-2014,0.416 
4pm ,13-Oct-2014,0.233 
12pm , 3-Jan-2014,1.16   
3pm ,11-Jul-2014,0.768kwh  
5am ,26-Oct-2014,0.162kwh  
10am ,02-Dec-2014,0.418  
12am ,10-Jan-2014,0.72kwh 
5am ,26-Feb-2014,1.307 
12am ,25-Jul-2014,0.662kwh  
3am ,17-Oct-2014,0.142   
6am ,10-Aug-2014,1.123kwh 
9pm ,17-Dec-2014,0.686 
1pm ,17-Mar-2014,0.272 
1am ,27-Nov-2014,0.10 
10pm ,24-Feb-2014,0.522
4am ,29-May-2014,0.178  
8am ,02-Sep-2014,0.238kwh
1am ,10-Oct-2014,0.128kwh  
9am , 6-Apr-2014,0.30 
7pm ,25-Jun-2014,2.689 
4am , 6-Jun-2014,0.346  
10pm ,16-Jan-2014,0.86kwh 
12pm ,24-Oct-2014,0.309 
12pm ,10-Aug-2014,0.583
4am ,20-Mar-2014,0.138kwh  
10pm ,11-Feb-2014,0.606   
10pm ,11-Aug-2014,0.504kwh  
1pm , 2-Dec-2014,0.484   
9pm , 1-Mar-2014,0.294 
2pm ,14-Oct-2014,0.257 
7pm , 7-Apr-2014,0.486kwh 
12am ,21-May-2014,0.211   
11am ,26-May-2014,0.408kwh 
7pm ,26-Feb-2014,2.009kwh 
2pm ,01-Sep-2014,0.291 
12pm ,23-Jan-2014,0.95  
9am ,12-Feb-2014,0.392   
1pm , 2-Apr-2014,0.137  
6am , 3-Sep-2014,0.79  
2am ,03-Nov-2014,0.095kwh  
11am ,21-May-2014,0.468kwh
9am ,26-Jan-2014,1.656kwh  
6am ,25-Nov-2014,0.605  
5am ,28-Dec-2014,0.32kwh
3pm ,17-Jan-2014,0.64kwh  
11pm ,12-Dec-2014,1.232kwh  
2am ,24-Feb-2014,0.226 
10pm ,12-Feb-2014,0.48kwh
11am ,21-Nov-2014,0.18  
9pm ,27-Mar-2014,0.518kwh  
2am ,22-Jun-2014,0.643  
9am ,19-Feb-2014,0.396kwh
9am ,27-Jul-2014,1.836  
11am ,01-Apr-2014,0.134
2am ,31-Oct-2014,0.109  
12pm ,24-Sep-2014,0.413  
11pm , 3-Jan-2014,2.02 
7pm ,23-Dec-2014,1.98  
4pm ,22-Jan-2014,0.896 
6am ,27-Jun-2014,2.138kwh  
3am ,19-Feb-2014,0.245kwh
10pm ,19-Aug-2014,0.69 
8am ,26-Mar-2014,0.339   
8pm ,8-Dec-2014,1.566   
3am ,16-May-2014,0.16  
1pm ,03-Jan-2014,0.88kwh  
6am , 6-May-2014,0.922kwh  
4am ,09-Jan-2014,0.424kwh  
9am ,10-Nov-2014,0.132kwh  
12am ,11-Feb-2014,0.338kwh
10am , 5-Oct-2014,0.36kwh  
6pm ,16-Mar-2014,1.642   
6am ,12-May-2014,1.152kwh 
12pm , 6-Aug-2014,0.498  
7pm ,14-Dec-2014,2.039  
12am ,17-Mar-2014,0.214 
3am , 6-Jun-2014,0.338  
6am ,20-Mar-2014,1.142  
8am , 3-May-2014,0.988kwh
8pm ,23-Apr-2014,0.403   
9pm ,11-Apr-2014,0.097  
4pm ,17-Apr-2014,0.12  
9pm , 2-Jan-2014,1.368kwh 
5pm ,30-Apr-2014,0.374 
8pm ,12-Aug-2014,1.882kwh 
4pm ,27-Oct-2014,0.262 
8am ,19-Feb-2014,0.528
9am ,21-Jan-2014,0.576
2am ,11-Jan-2014,0.48kwh  
7am , 8-Apr-2014,0.278kwh 
2am ,27-Mar-2014,0.171  
4pm ,05-Jun-2014,0.67  
7am ,07-Sep-2014,0.907 
9am ,19-Jan-2014,2.142kwh  
10am ,15-Jul-2014,1.008kwh
11am ,24-Feb-2014,0.552  
11pm ,10-Sep-2014,0.322
4pm ,12-Mar-2014,0.272 
11pm , 4-Mar-2014,0.432  
7am ,10-Dec-2014,0.901   
9pm ,13-Dec-2014,0.488  
8pm ,05-Aug-2014,1.882kwh  
8pm ,14-Aug-2014,1.824  
8am ,01-Mar-2014,0.957kwh
12pm ,22-Nov-2014,0.297  
9am ,27-Jun-2014,0.491kwh
10pm ,12-Oct-2014,0.339  
5am ,29-Sep-2014,0.678
3am ,14-Jun-2014,0.643kwh 
6pm ,21-Jun-2014,3.532kwh  
8am , 8-Feb-2014,1.763  
7pm ,04-Jun-2014,2.657   
8pm ,26-Mar-2014,1.05 
3pm ,29-Oct-2014,0.211  
11pm , 7-May-2014,0.376 
12pm ,28-Jun-2014,1.048   
2pm ,26-Jan-2014,1.424 
4am ,3-Apr-2014,0.071 
1pm ,25-Nov-2014,0.16   
11am ,25-Sep-2014,0.389
2am ,18-Feb-2014,0.264 
11am ,15-Sep-2014,0.396   
1pm ,09-Oct-2014,0.274  
9am ,19-Sep-2014,0.208  
5pm ,27-Dec-2014,1.178  
3am , 2-Dec-2014,0.227kwh  
10pm ,06-Aug-2014,0.63kwh  
8am ,12-Feb-2014,0.47kwh 
5am , 9-Feb-2014,0.36kwh
6am ,31-Aug-2014,0.95kwh  
5am ,14-Jan-2014,2.112kwh  
12pm ,09-Dec-2014,0.66
10pm ,13-Mar-2014,0.344kwh  
10pm ,23-Mar-2014,0.44kwh  
6pm ,14-Aug-2014,1.798 
9am ,28-Jan-2014,0.534
8am ,21-Sep-2014,0.956kwh 
4am , 3-Jul-2014,0.552 
4am ,27-May-2014,0.149  
5pm ,30-Mar-2014,0.742kwh 
3am ,22-Sep-2014,0.157 
12pm ,14-Dec-2014,0.653 
2pm , 3-Oct-2014,0.257
7am ,03-Aug-2014,1.714kwh  
2pm ,30-Apr-2014,0.11 
1pm ,14-Nov-2014,0.193  
5am ,21-Oct-2014,0.541   
8am ,28-Apr-2014,0.10kwh 
11pm ,12-Sep-2014,0.784
3am ,22-Jun-2014,0.513  
10pm , 9-Aug-2014,0.418   
6pm ,10-May-2014,1.224 
8am ,30-Jan-2014,0.816kwh
7pm , 6-Apr-2014,0.545 
7pm ,19-May-2014,1.267   
11am ,11-Oct-2014,0.295 
10am ,26-Nov-2014,0.203
5pm ,19-Jun-2014,2.808kwh
9pm ,02-Dec-2014,0.739 
8am ,27-Sep-2014,1.074  
5pm , 9-Apr-2014,0.421 
1pm ,21-Sep-2014,0.37kwh 
12am ,13-Jan-2014,0.546kwh 
2pm ,23-Jun-2014,0.605   
1am ,13-Feb-2014,0.209
9pm ,26-Apr-2014,0.107kwh
10pm ,23-Apr-2014,0.131 
5am ,13-Sep-2014,0.208  
11pm ,27-Jun-2014,1.908  
5pm ,12-Apr-2014,0.232  
2am ,18-Aug-2014,0.266 
6pm ,29-Jun-2014,3.143
1pm ,11-Aug-2014,0.446  
3pm , 4-Apr-2014,0.132kwh
10am ,15-Jan-2014,0.704kwh 
8am ,15-Feb-2014,1.498  
10pm ,10-Mar-2014,0.448 
3am ,17-Jan-2014,0.452  
12am ,23-Aug-2014,1.114 
4pm ,11-Dec-2014,0.405 
6am ,19-Aug-2014,1.728 
7am ,31-Jul-2014,1.901  
4pm ,20-May-2014,0.291 
10pm ,24-Nov-2014,0.223
8am ,19-Jul-2014,3.463  
3pm ,17-Mar-2014,0.266 
9pm ,14-Jan-2014,1.236   
5pm , 1-Mar-2014,0.864kwh 
10pm , 1-Jul-2014,1.236   
9am ,10-Apr-2014,0.093kwh  
9pm ,03-Jun-2014,1.285
8pm ,15-May-2014,1.498
3pm ,22-Dec-2014,0.405kwh
2am ,22-Sep-2014,0.154kwh  
4am ,4-Oct-2014,0.20 
4pm ,10-Jun-2014,0.67  
2am ,29-Dec-2014,0.235kwh 
1am ,17-May-2014,0.221kwh
12am ,23-Sep-2014,0.21 
10am , 7-Feb-2014,0.432   
10am ,10-Aug-2014,0.662 
9pm ,12-Aug-2014,0.799 
12pm ,27-Sep-2014,0.407  
10pm ,24-Dec-2014,0.589  
1am ,19-Jan-2014,0.57 
7am ,02-Aug-2014,1.31  
1pm , 8-Nov-2014,0.278   
12am ,25-Aug-2014,0.317kwh  
3am , 5-Nov-2014,0.076  
8am , 9-Oct-2014,0.221 
4am ,19-Dec-2014,0.255 
2pm ,09-May-2014,0.272
12pm ,16-Jul-2014,1.08  
5am , 2-Nov-2014,0.14kwh  
10pm ,16-Feb-2014,0.678  
4pm ,23-May-2014,0.336  
4pm ,12-May-2014,0.275  
11pm ,12-May-2014,0.372
11pm ,04-Dec-2014,0.66
5am ,26-Jul-2014,0.842kwh 
10am ,25-Dec-2014,0.51 
8pm ,23-Feb-2014,2.052kwh 
1am ,12-Mar-2014,0.158 
1pm ,8-Dec-2014,0.418   
6pm ,27-Jul-2014,5.054kwh  
3am ,11-Oct-2014,0.185 
1pm ,24-Nov-2014,0.162kwh 
6pm ,21-Aug-2014,1.714   
5pm ,10-Oct-2014,0.796  
9am ,05-Oct-2014,0.637   
11pm ,28-Nov-2014,0.495   
7pm ,15-Apr-2014,0.535kwh  
1am ,14-Oct-2014,0.144kwh
5am ,05-Mar-2014,0.88  
1pm ,22-Feb-2014,0.72   
4pm ,23-Aug-2014,1.112kwh  
8am , 5-Oct-2014,0.913kwh  
2pm ,28-Jan-2014,0.92   
6am ,14-Nov-2014,0.502 
6pm ,27-May-2014,0.986kwh  
9pm ,14-Feb-2014,0.475  
10pm ,18-Jan-2014,0.952kwh
7am ,17-Mar-2014,0.799  
4pm ,20-Jun-2014,0.598kwh 
1pm ,25-Mar-2014,0.336kwh 
11pm ,25-Jan-2014,2.20 
5pm , 8-Jan-2014,2.808kwh  
4pm , 4-Jun-2014,0.77
5pm , 9-Jul-2014,2.964 
11pm ,15-Nov-2014,0.387
10pm ,18-Sep-2014,0.368   
2pm , 6-Oct-2014,0.211kwh
1pm ,14-Jan-2014,0.824kwh 
12pm ,08-Jan-2014,1.10 
12am ,19-Sep-2014,0.183   
9pm , 1-Dec-2014,0.64  
6am , 9-Jul-2014,2.563kwh  
5am ,22-Oct-2014,0.587 
10am ,14-Aug-2014,0.514  
9pm ,24-Mar-2014,0.562  
10pm ,27-Jul-2014,1.344 
4pm ,22-May-2014,0.371 
1pm ,16-Nov-2014,0.267 
5am ,13-May-2014,0.968 
5am ,07-Jan-2014,2.596kwh  
10pm ,26-Jul-2014,1.152kwh  
11pm ,13-Jul-2014,1.296 
10am ,27-Nov-2014,0.18kwh  
3pm , 3-Mar-2014,0.378 
8am ,13-Apr-2014,0.425 
8am ,13-Jul-2014,2.839   
8pm ,14-Jan-2014,3.264kwh
10pm ,29-Dec-2014,0.523  
6am , 3-Jan-2014,2.112 
9pm ,12-Oct-2014,0.349 
12pm ,25-Jul-2014,1.368  
3am ,20-Feb-2014,0.266 
4am , 9-Feb-2014,0.421  
4pm ,31-Jul-2014,0.874kwh
4pm ,15-Jan-2014,0.712  
6pm ,29-May-2014,1.142  
9am ,16-Mar-2014,0.763kwh
9am , 4-May-2014,0.698kwh 
11am ,19-Mar-2014,0.452   
5am ,21-Dec-2014,0.264kwh
11pm ,22-Oct-2014,0.264
2pm ,26-Oct-2014,0.451kwh 
8pm ,03-Aug-2014,1.901kwh 
2pm , 4-Sep-2014,0.232
5am ,23-Dec-2014,0.968  
1pm ,05-Aug-2014,0.542kwh  
12pm ,5-Mar-2014,0.452
5am ,25-Oct-2014,0.166kwh 
11am ,26-Sep-2014,0.298 
3am , 9-Aug-2014,0.299  
5am ,25-Nov-2014,0.579kwh 
6pm , 7-Jan-2014,2.604   
8am ,27-Feb-2014,0.571  
3pm ,26-Jun-2014,0.706kwh  
8am ,20-Jan-2014,0.96kwh
3pm ,18-Oct-2014,0.616   
2am ,20-Dec-2014,0.29 
12am ,18-Dec-2014,0.386 
8am ,19-Mar-2014,0.288 
4am ,23-Apr-2014,0.064 
1am ,18-Feb-2014,0.264 
11am ,16-Sep-2014,0.319
2am ,11-Mar-2014,0.158kwh  
1pm ,26-Aug-2014,0.566kwh
1pm ,15-Nov-2014,0.316kwh 
10pm ,28-Oct-2014,0.243  
3pm , 7-Apr-2014,0.119kwh 
8am ,22-Feb-2014,1.42  
11am ,10-Oct-2014,0.291  
10pm ,11-Nov-2014,0.268 
11am ,26-Jun-2014,1.026 
2am , 8-Nov-2014,0.146kwh 
3pm , 2-Jan-2014,0.896   
3pm ,16-Dec-2014,0.427  
4am ,18-Nov-2014,0.095kwh 
9am , 1-Dec-2014,0.30
3pm ,28-Dec-2014,1.049  
1am ,27-Jan-2014,0.448  
10am ,21-Aug-2014,0.509  
5am ,26-Jun-2014,1.723kwh
1pm ,26-Apr-2014,0.189kwh
5pm ,28-Aug-2014,1.404kwh  
4pm ,10-Feb-2014,0.437 
4pm , 1-Oct-2014,0.242kwh 
3am , 9-Jan-2014,0.424 
3am ,12-May-2014,0.154
9pm ,16-Jan-2014,1.092  
6pm ,9-Mar-2014,1.699 
5am ,28-Feb-2014,1.478  
3pm ,30-Sep-2014,0.333kwh 
7am ,14-Oct-2014,0.475kwh
9am ,20-Nov-2014,0.122  
12pm ,16-Oct-2014,0.279kwh 
1am ,31-Dec-2014,0.222kwh 
4am ,12-Jul-2014,0.655 
12pm ,27-May-2014,0.38  
7pm ,24-Oct-2014,0.972   
7am ,14-May-2014,0.785 
2pm ,26-Apr-2014,0.221  
3pm ,17-Dec-2014,0.524 
7pm ,21-Mar-2014,1.238 
6pm , 6-Mar-2014,0.896kwh  
11am ,24-May-2014,0.413  
10am , 8-Dec-2014,0.449
2pm ,30-Jul-2014,0.989  
12pm ,13-Apr-2014,0.194 
8am ,5-Mar-2014,0.278   
4am ,25-Jun-2014,0.32   
8pm , 8-Mar-2014,1.339
10pm ,31-Aug-2014,0.66  
11pm ,17-Sep-2014,0.382  
5am ,10-Jan-2014,2.398 
4am ,25-Aug-2014,0.228kwh 
7am ,20-Dec-2014,1.531kwh
12am ,30-Sep-2014,0.172  
7pm ,13-Apr-2014,0.518kwh  
5am ,13-Jan-2014,2.20   
10am ,23-May-2014,0.291kwh 
4am ,21-Apr-2014,0.067 
8pm ,31-Mar-2014,1.357
8pm ,03-Feb-2014,1.978kwh 
7am , 2-May-2014,0.583  
3pm ,27-Nov-2014,0.205  
10am ,15-Jun-2014,1.199  
8am ,11-Feb-2014,0.418  
8pm ,11-Oct-2014,1.231kwh 
10pm ,30-Jun-2014,1.035kwh 
1am ,12-Dec-2014,0.222kwh  
1am ,24-Mar-2014,0.134 
2am ,6-Feb-2014,0.214   
1am ,22-Jun-2014,0.47kwh  
6pm ,5-Jan-2014,2.952
10am ,28-Oct-2014,0.233  
6pm ,22-Jul-2014,3.394kwh  
4am ,25-Nov-2014,0.083   
9am ,28-Aug-2014,0.342kwh
10pm , 1-Oct-2014,0.357kwh 
5pm ,27-Mar-2014,0.926   
1am ,6-Feb-2014,0.214
3pm ,22-Feb-2014,0.896
1pm ,12-Oct-2014,0.36kwh  
6pm ,15-May-2014,1.064 
3am ,17-Jul-2014,0.437 
2am , 4-Nov-2014,0.104 
9pm ,26-Dec-2014,0.414kwh
11am ,10-Nov-2014,0.27
4am ,21-Feb-2014,0.226kwh  
1am ,24-Nov-2014,0.09   
11am ,10-May-2014,0.47kwh
6am ,01-Jul-2014,3.312kwh  
7pm ,16-Jun-2014,3.758kwh
5am ,04-Dec-2014,1.222kwh  
10pm ,25-May-2014,0.36
7am ,26-Jul-2014,3.082kwh
11am ,05-May-2014,0.424kwh  
2pm ,28-Feb-2014,0.47 
2pm ,18-Sep-2014,0.258 
9am ,11-Nov-2014,0.147 
3pm ,15-Aug-2014,0.523  
4pm ,11-Jul-2014,0.806   
6pm ,12-Jan-2014,4.176 
12pm , 9-Aug-2014,0.698  
4pm ,06-Nov-2014,0.149 
3pm ,26-May-2014,0.346  
8am ,25-Jul-2014,1.066kwh 
2pm ,10-Mar-2014,0.358 
7am ,12-Mar-2014,0.742  
7pm ,25-Aug-2014,2.182 
8pm ,01-Dec-2014,1.707
3am ,23-Oct-2014,0.113  
6pm ,28-Mar-2014,1.086
2am ,12-Apr-2014,0.088  
10am ,29-Jan-2014,0.92   
4pm ,08-Aug-2014,0.461 
4pm ,16-May-2014,0.278kwh 
12pm ,6-Feb-2014,0.684  
1am ,20-Nov-2014,0.10  
4pm , 1-Nov-2014,0.446  
9pm , 9-Feb-2014,0.612kwh 
10am ,20-Jun-2014,0.821kwh 
5am ,08-Dec-2014,1.101 
3pm ,24-Feb-2014,0.523  
1am ,23-Oct-2014,0.124   
8am ,25-Mar-2014,0.333
8am ,29-Jul-2014,0.941  
5pm ,14-Jul-2014,3.526kwh  
1am ,30-Sep-2014,0.125kwh  
11am ,06-Apr-2014,0.187kwh  
6am ,24-Oct-2014,0.655  
10pm ,16-Jun-2014,0.954 
12am ,25-May-2014,0.608 
3pm ,11-Dec-2014,0.40
10am ,07-Sep-2014,0.374  
7pm ,30-May-2014,1.512 
1pm ,11-Apr-2014,0.142 
3pm , 7-May-2014,0.31
2am ,26-Mar-2014,0.13 
11am ,30-Jul-2014,0.96 
2am ,21-Jun-2014,0.448kwh
7am ,26-Aug-2014,1.156 
8pm ,19-Nov-2014,0.742 
1pm ,30-Jul-2014,0.816 
12am ,06-Nov-2014,0.12 
7am ,22-Jun-2014,2.462  
11pm ,25-Jul-2014,2.784kwh  
4pm , 1-Apr-2014,0.13kwh  
12am ,17-Aug-2014,1.085 
5am ,15-Apr-2014,0.347  
4am ,15-Feb-2014,0.313kwh 
10pm ,25-Feb-2014,0.492kwh  
6am , 2-May-2014,0.97
1pm , 4-Mar-2014,0.262  
7pm , 7-Mar-2014,1.238  
2pm ,29-Apr-2014,0.132  
4am ,25-Oct-2014,0.214 
3am ,12-Nov-2014,0.097 
2pm , 7-May-2014,0.368 
1pm ,22-Jun-2014,1.123kwh  
4am ,3-Sep-2014,0.141  
7am ,18-Jan-2014,2.664kwh 
11pm ,08-Jun-2014,0.927kwh 
6pm ,02-Mar-2014,1.728 
11am ,19-Jun-2014,1.035kwh 
4pm ,30-Dec-2014,0.431  
7pm ,08-Mar-2014,1.354  
8am ,26-Jun-2014,0.799kwh 
8pm ,07-Sep-2014,1.147kwh  
4pm ,15-Sep-2014,0.297 
11pm ,07-Sep-2014,0.308 
6pm ,19-Feb-2014,1.613  
5am ,10-Aug-2014,0.353kwh 
4pm ,15-Nov-2014,0.409 
9am ,03-Apr-2014,0.083  
3am , 5-Dec-2014,0.198kwh 
12am ,23-Feb-2014,0.922 
5am ,15-Dec-2014,1.004
10pm ,21-May-2014,0.376kwh 
12am ,21-Mar-2014,0.283kwh 
1am ,18-Apr-2014,0.053 
10am ,15-Apr-2014,0.14
1am ,27-Apr-2014,0.105kwh 
10pm ,1-Jun-2014,1.071 
6am ,14-Aug-2014,1.526   
6am ,18-May-2014,0.557
10am ,10-Mar-2014,0.269  
12pm ,17-Feb-2014,0.486kwh
4pm ,24-Apr-2014,0.131 
11pm ,21-Jul-2014,1.224 
1pm ,14-Oct-2014,0.266kwh  
3pm ,26-Aug-2014,0.432  
9am ,18-Nov-2014,0.154   
10am ,26-Mar-2014,0.349  
8pm ,17-Jun-2014,2.419
5am ,11-Sep-2014,0.716   
3am ,31-May-2014,0.209 
5am ,11-Oct-2014,0.209
6pm ,19-Jul-2014,5.054  
11am ,18-Jul-2014,1.212   
5pm ,10-Apr-2014,0.382
7pm ,16-Feb-2014,1.793  
11pm ,23-Oct-2014,0.285  
7am ,7-Jun-2014,2.311  
11am , 2-Jul-2014,0.984 
12am ,05-Nov-2014,0.157   
10am ,12-May-2014,0.275kwh  
11am , 8-Jul-2014,1.14
2pm , 1-Aug-2014,0.49kwh  
4pm ,23-Oct-2014,0.288kwh
7am ,09-Jul-2014,2.506  
5pm ,03-Jan-2014,3.068 
2pm ,18-Jul-2014,0.806kwh 
2pm ,15-May-2014,0.301 
9pm ,27-Feb-2014,0.785
7am ,29-May-2014,0.67  
1pm ,07-May-2014,0.282kwh  
3pm ,31-Jan-2014,0.648
11pm ,28-Aug-2014,0.678  
9am , 6-Nov-2014,0.126kwh 
12am , 9-May-2014,0.206   
4am ,11-Sep-2014,0.129kwh  
12am ,12-Feb-2014,0.32  
7pm ,25-Jul-2014,4.925  
4pm ,18-Jul-2014,1.056   
12pm ,26-Oct-2014,0.41 
12pm ,22-Oct-2014,0.315  
2am ,28-Oct-2014,0.12kwh  
5am ,21-Aug-2014,1.518kwh
12pm ,21-Sep-2014,0.47   
8am , 7-Jul-2014,1.056 
4am ,24-Jan-2014,0.444  
2am ,08-Dec-2014,0.218
3pm , 3-Nov-2014,0.193kwh
12pm ,16-Dec-2014,0.446kwh
5pm , 8-Dec-2014,1.459  
4pm , 6-May-2014,0.33  
12am ,05-Jun-2014,0.481kwh 
6pm ,28-Oct-2014,0.756  
2am ,09-Aug-2014,0.306
4pm ,27-Feb-2014,0.403kwh  
6am ,11-Dec-2014,1.492kwh 
5pm ,29-Mar-2014,0.67 
3pm ,10-May-2014,0.662  
11am ,19-Nov-2014,0.227  
7am ,2-Jul-2014,2.03
6pm ,30-Jul-2014,3.998 
8pm ,21-Oct-2014,0.797kwh  
10am , 5-Jun-2014,0.583   
9pm ,20-Jul-2014,1.325kwh 
3am ,15-Apr-2014,0.069kwh 
6pm ,18-May-2014,1.368 
7pm ,16-Sep-2014,1.436kwh  
4am ,22-May-2014,0.19
9pm ,02-Sep-2014,0.433  
2pm ,11-Feb-2014,0.523  
1am ,15-Oct-2014,0.102
2pm ,15-Mar-2014,0.672  
1pm , 9-Jul-2014,0.893
9pm , 2-Jun-2014,0.994 
3am ,18-Dec-2014,0.238 
8am ,14-Mar-2014,0.352kwh
12pm ,22-Dec-2014,0.512 
3am , 5-Mar-2014,0.165 
10am ,9-Nov-2014,0.216  
4pm ,19-Apr-2014,0.324   
3pm ,22-Aug-2014,0.451  
9pm ,13-Mar-2014,0.485kwh  
3pm ,22-Jul-2014,1.027kwh 
4pm , 7-Aug-2014,0.466kwh 
11pm ,23-Sep-2014,0.28kwh 
7am ,8-Jan-2014,1.512  
7am ,11-Dec-2014,0.98kwh
2am ,14-Apr-2014,0.049kwh
2pm ,17-Oct-2014,0.247  
2am ,17-Jan-2014,0.356 
6am ,24-Jun-2014,1.966kwh 
3am , 6-Jan-2014,0.468  
11pm , 8-Aug-2014,1.392   
10pm ,23-Dec-2014,0.44kwh  
8pm ,26-Oct-2014,1.156  
11pm , 9-Feb-2014,0.516kwh 
5pm , 1-Jun-2014,1.571kwh  
11pm ,11-Dec-2014,0.49  
2am , 9-Mar-2014,0.23 
8pm , 4-Aug-2014,1.978 
8am ,10-Sep-2014,0.252 
7am , 8-Oct-2014,0.589  
10am ,15-Oct-2014,0.288
10am ,29-Dec-2014,0.356  
12am ,16-Sep-2014,0.246kwh 
8am ,28-May-2014,0.278   
2pm , 9-Jan-2014,0.80kwh  
10pm , 7-Apr-2014,0.15kwh
10pm ,14-Mar-2014,0.599kwh 
1am ,29-Jan-2014,0.424  
8pm ,17-May-2014,1.584  
6am ,23-Mar-2014,0.64kwh
12am ,28-Nov-2014,0.139
3pm ,23-Aug-2014,1.058
2am ,27-Oct-2014,0.104  
11am ,29-Jan-2014,0.89
10am ,21-Mar-2014,0.272kwh  
10pm ,08-Nov-2014,0.149  
4am ,30-Jan-2014,0.416  
2am , 5-Jun-2014,0.41 
12am , 6-Apr-2014,0.206 
2pm , 5-May-2014,0.266  
6am ,6-Mar-2014,1.027  
6am ,26-Dec-2014,1.544kwh 
6pm ,02-Feb-2014,1.987 
11am , 3-Feb-2014,0.588
6am , 5-Nov-2014,0.497  
7am ,26-Mar-2014,0.598kwh 
10pm ,21-Jun-2014,0.85 
7pm ,11-Aug-2014,1.944 
7am ,10-Sep-2014,0.592 
3am ,18-Jun-2014,0.353kwh
6am , 6-Nov-2014,0.589  
12am ,28-Mar-2014,0.24   
7am ,01-Nov-2014,0.437   
7pm ,17-May-2014,1.642  
11pm ,27-Nov-2014,0.216kwh  
9pm ,24-Feb-2014,0.727  
12am ,29-Dec-2014,0.32  
5am ,02-Dec-2014,1.016   
1pm , 2-Jul-2014,0.826  
8pm ,27-Jul-2014,5.141   
2pm ,25-May-2014,0.531
11pm ,26-Mar-2014,0.36kwh 
4pm ,25-Dec-2014,0.488   
9pm ,28-May-2014,0.538  
6am ,22-Jan-2014,2.208 
12pm ,25-Nov-2014,0.252 
5am ,12-Sep-2014,0.685  
2pm ,23-Nov-2014,0.414kwh
4pm ,17-Jan-2014,0.872   
2am ,22-Dec-2014,0.24kwh 
10am ,19-Mar-2014,0.342kwh
